cpv_code,name,description
45255500,Radovi na bušenju i istraživanju,Drilling and exploration work
44211000,Montažne zgrade,Prefabricated buildings
31172000,Naponski transformatori,Voltage transformers
33141411,Skalpeli i sečiva,Scalpels and blades
66171000,Usluge finansijskog savetovanja,Financial consultancy services
44144000,Stubovi,Posts
72212211,Usluge izrade softvera za međupovezivanje aplikacijskih platformi,Platform interconnectivity software development services
24456000,Rodenticidi (sredstva za suzbijanje glodara),Rodenticides
71337000,Usluge u oblasti zaštite od korozije,Corrosion engineering services
44163120,Cevi za daljinsko grejanje,Distance-heating pipes
39518000,Bolnička posteljina,Hospital linen
32520000,Telekomunikacioni kablovi i oprema,Telecommunications cable and equipment
33651600,Vakcine,Vaccines
79993000,Usluge upravljanja zgradama i objektima,Building and facilities management services
39314000,Industrijska kuhinjska oprema,Industrial kitchen equipment
34900000,Razna oprema za prevoz i rezervni delovi,Miscellaneous transport equipment and spare parts
45112600,Iskopavanje i zatrpavanje,Cut and fill
45112500,Odnošenje iskopane zemlje,Earthmoving work
63100000,Usluge rukovanja teretom i skladištenja tereta,Cargo handling and storage services
37823000,Hartija nepropustljiva na masnoću i drugi papirni proizvodi,Greaseproof paper and other paper items
09113000,Koks,Coke
80511000,Usluge obuke osoblja,Staff training services
44200000,Konstrukcioni proizvodi,Structural products
22200000,"Novine, revije, periodične publikacije i časopisi","Newspapers, journals, periodicals and magazines"
42142200,Delovi pogonskih elemenata,Parts of driving elements
90733900,Usluge čišćenja ili sanacije zagađenih podzemnih voda,Groundwater pollution treatment or rehabilitation
45112400,Radovi na iskopavanju,Excavating work
30194300,"Pribor, kompleti i hartija za crtanje","Drafting kits, sets and papers"
31213400,Razvodni sistem,Distribution system
50324000,Usluge podrške za personalne računare,Support services of personal computers
37000000,"Muzički instrumenti, sportska roba, igre, igračke, proizvodi ručnog rada, umetnički materijali i pribor","Musical instruments, sport goods, games, toys, handicraft, art materials and accessories"
77600000,Usluge u lovu,Hunting services
72212180,Usluge razvoja medicinskog softvera,Medical software development services
55310000,Usluživanje u restoranima,Restaurant waiter services
92111200,"Produkcija reklamnog, propagandnog i informativnog filma i video snimaka","Advertising, propaganda and information film and video-tape production"
60600000,Usluge prevoza vodnim putevima,Water transport services
34223000,Prikolice i poluprikolice,Trailers and semi-trailers
22800000,"Registratori od hartije ili kartona, računovodstvene knjige, fascikle, obrasci i drugi štampani kancelarijski materijal","Paper or paperboard registers, account books, binders, forms and other articles of printed stationery"
44619000,Druge posude,Other containers
18425100,Remenici,Bandoliers
43812000,Oprema za testerisanje,Sawing equipment
45262512,Zidarski radovi sa klesanim kamenom,Dressed stonework
42991000,"Mašine za hartiju , štamparske i knjigovezačke mašine  i njihovi delovi","Paper, printing and bookbinding machinery and parts"
45231220,Radovi na izgradnji gasovoda,Construction work for gas pipelines
66511000,Usluge životnog osiguranja,Life insurance services
